"","OBJECTID","Unique School ID","Year corresponding to survey record","Postal state abbreviation code","NCES Agency ID","State Local Education Number","Education Agency Name","School name","Location address, street 1","Location address, street 2","Location city","Location state","Location 5 digit ZIP code","Location Secondary ZIP code","Telephone number","Whether a Charter School","Virtual School Status","Grades Offered - Lowest","Grades Offered - Highest","School level","Start of year status (code)","School type (description)","Start of year Status (description)","Locale Code","County Name","Total of free lunch and reduced-price lunch eligible","Free Lunch Program","Reduced-Lunch Program","Direct Certification","Prekindergarten students","Kindergarten students","Grade 1 students","Grade 2 students","Grade 3 students","Grade 4 students","Grade 5 students","Grade 6 students","Grade 7 students","Grade 8 students","Grade 9 students","Grade 10 students","Grade 11 students","Grade 12 students","Grade 13 students","Ungraded students","Adult Education Students","Total Male Enrollment","Total Female Enrollment","Total students, all grades (includes AE)","Total elementary/secondary students (excludes AE)","Total Teachers","Student teacher ratio","All Students - American Indian/Alaska Native - Male","All Students - American Indian/Alaska Native - Female","All Students - American Indian/Alaska Native","All Students - Asian - Male","All Students - Asian - Female","All Students - Asian","All Students - Black or African American - Male","All Students - Black or African American - Female","All Students - Black  or African American","All Students - Native Hawai'ian or Other Pacific Islander - Male","All Students - Native Hawai'ian or Other Pacific Islander - Female","All Students - Native Hawai'ian or Other Pacific Islander","All Students - Hispanic - Male","All Students - Hispanic - Female","All Students - Hispanic","All Students - Two or More Races - Male","All Students - Two or More Races - Female","All Students - Two or More Races","All Students - White - Male","All Students - White - Female","All Students - White","Latitude","Longitude","PctNonWhite","x","y","Total_TravelTime_SERV10","Total_TravelTime_SERV22","Total_TravelTime_SERV50","Total_TravelTime_SERV52","Total_TravelTime_SERV56","Total_TravelTime_SERV57","Total_TravelTime_SERV58","Total_TravelTime_SERV59","Total_TravelTime_SERV80","Total_Kilometers_SERV10","Total_Kilometers_SERV22","Total_Kilometers_SERV50","Total_Kilometers_SERV52","Total_Kilometers_SERV56","Total_Kilometers_SERV57","Total_Kilometers_SERV58","Total_Kilometers_SERV59","Total_Kilometers_SERV80"
"1",92242,"510000302015.00","2022-2023","VA",5100003,"VA-301","Charlottesville-Albemarle Vocational-Technical Center","CHARLOTTESVILLE-ALBEMARLE TECH","1000 East Rio Rd",NA,"Charlottesville","VA",22901,1803,"(434)973-4461","No","Supplemental Virtual","N","N","Not applicable",1,"Career and Technical School","Currently operational","23-Suburb: Small","Albemarle County",-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.062581,-78.463947,NA,-78.463947,38.062581,12.1433174152819,46.334954450159,150.326406744083,45.8831126251938,73.5035735851393,367.310862525939,157.302335632453,434.866631234527,186.99909613811,6.92480287462202,65.1976095609467,188.65879839258,63.4217952569435,111.479085758642,602.109393917192,192.033093757962,753.125803414314,290.593734521483
"2",92243,"510000402016.00","2022-2023","VA",5100004,"VA-302","Jackson River Technical Center","JACKSON RIVER TECH CTR","105 E Country Club Lane",NA,"Covington","VA",24426,9640,"(540)862-1308","No","Supplemental Virtual","N","N","Not applicable",1,"Career and Technical School","Currently operational","42-Rural: Distant","Alleghany County",-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.788133,-79.909846,NA,-79.909846,37.788133,6.03995674418145,66.1221659290746,222.201875958987,67.6187036772865,154.974668474739,331.248543630267,229.177804847358,342.548363066867,183.089127278096,3.58073955689085,76.4849317000435,365.360040028442,111.907540829573,272.085501649875,535.325203881912,368.734335393824,585.633105841191,242.152970236935
"3",92244,"510000602018.00","2022-2023","VA",5100006,"VA-304","Massanutten  Technical Center","MASSANUTTEN TECH CTR","325 Pleasant Valley Rd",NA,"Harrisonburg","VA",22801,9756,"(540)434-5961","No","Supplemental Virtual","N","N","Not applicable",1,"Career and Technical School","Currently operational","13-City: Small","Harrisonburg city",-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.401053,-78.902104,NA,-78.902104,38.401053,9.63680693713114,28.2766174876114,147.124826164678,27.8247756626462,117.704794020997,364.329410305626,154.100755053049,418.927980771021,209.644557698858,5.65567486585562,38.2509854112839,224.355255907956,36.4751711072807,200.239344085786,626.043400260694,227.729551273338,729.145281864749,330.211548238031
"4",92245,"510000802020.00","2022-2023","VA",5100008,"VA-306","Valley Career and Technical Center","Valley Career and Technical Center","49 Hornet Road",NA,"Fishersville","VA",22939,NA,"(540)245-5002","No","Supplemental Virtual","N","N","Not applicable",1,"Career and Technical School","Currently operational","41-Rural: Fringe","Augusta County",-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.116263,-78.989196,NA,-78.989196,38.116263,6.26089955075902,11.1417246059021,165.810938786045,10.6898827809369,97.6428869134976,347.429996482956,172.786867674415,402.028539211718,189.582591513818,3.39704251722589,8.42341705106749,260.46709871107,6.64760274706428,161.543562072005,596.210262442469,263.841394076452,699.312151675919,291.515796741828
"5",92246,"510000902022.00","2022-2023","VA",5100009,"VA-307","New Horizons Career and Technical Center","New Horizons Woodside Campus","13400 Woodside Ln",NA,"Newport News","VA",23608,NA,"(757)874-4444","No","Supplemental Virtual","N","N","Not applicable",1,"Career and Technical School","Currently operational","12-City: Mid-size","Newport News city",-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.1714,-76.527,NA,-76.527,37.1714,9.07242398599532,23.334195429842,43.7738916999161,10.0836219719499,41.046658767812,NA,175.706935960573,NA,42.6030991291893,6.46878435720661,29.2001578449912,61.3536409536527,8.45015839526807,62.5912424019557,NA,270.324499931552,NA,61.1049252471519
"6",92247,"510000902051.00","2022-2023","VA",5100009,"VA-307","New Horizons Career and Technical Center","New Horizons Butler Farm Campus","520 Butler Farm Road",NA,"Hampton","VA",23666,NA,"(757)766-1100","No","Supplemental Virtual","N","N","Not applicable",1,"Career and Technical School","Currently operational","12-City: Mid-size","Hampton city",-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.0627,-76.4116,NA,-76.4116,37.0627,5.05470370431635,33.8304049337601,31.5835833535999,20.9111092742148,51.5428682717301,NA,186.203145464491,NA,30.4128169517841,2.77705393337186,47.4835159241191,40.9466341951341,27.1416013437808,80.8746004810837,NA,288.60785801068,NA,40.6979184886334
"7",92248,"510000903010.00","2022-2023","VA",5100009,"VA-307","New Horizons Career and Technical Center","GREATER PENINSULA GOVERNOR'S STEM ACADEMY","520 Butler Farm Road",NA,"Hampton","VA",23666,NA,"(757)766-1100","No","Supplemental Virtual","N","N","Not applicable",1,"Career and Technical School","Currently operational","12-City: Mid-size","Hampton city",-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.0627,-76.4116,NA,-76.4116,37.0627,5.05470370431635,33.8304049337601,31.5835833535999,20.9111092742148,51.5428682717301,NA,186.203145464491,NA,30.4128169517841,2.77705393337186,47.4835159241191,40.9466341951341,27.1416013437808,80.8746004810837,NA,288.60785801068,NA,40.6979184886334
"8",92249,"510001102024.00","2022-2023","VA",5100011,"VA-309","Rowanty Vocational-Technical Center","ROWANTY VOCATIONAL TECH CTR","20000 Rowanty Rd",NA,"Carson","VA",23830,NA,"(434)246-5741","No","Supplemental Virtual","N","N","Not applicable",1,"Career and Technical School","Currently operational","42-Rural: Distant","Prince George County",-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.035579,-77.379691,NA,-77.379691,37.035579,15.6427182015876,14.8864741009559,95.458868898303,79.1028958365131,45.5507149751359,NA,162.264931318387,NA,94.2880999106586,20.0989930100911,21.502104253604,123.206528666492,138.907456516405,68.3974029378901,NA,250.164290118118,NA,122.95787018045
"9",92250,"510001202025.00","2022-2023","VA",5100012,"VA-310","NORTHERN NECK TECHNICAL CENTER","NORTHERN NECK TECHNICAL CENTER","13946 Historyland Hwy.",NA,"Warsaw","VA",22572,787,"(804)333-4940","No","Supplemental Virtual","N","N","Not applicable",1,"Career and Technical School","Currently operational","42-Rural: Distant","Richmond County",-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.944627,-76.747954,NA,-76.747954,37.944627,18.8271823188031,84.5853824928758,136.257844748849,92.518078262826,74.140086963606,NA,139.158576834762,177.493548273992,NA,17.7640642655896,107.847314718276,151.640765064943,117.374895529783,84.9462857378897,NA,156.508430486477,216.408792303438,NA
"10",92251,"510001202978.00","2022-2023","VA",5100012,"VA-310","NORTHERN NECK TECHNICAL CENTER","Northern Neck Gov Stem Academy/Agric & Maritime Studies","13946 Historyland Highway",NA,"Warsaw","VA",22572,NA,"(804)333-4940","No","Supplemental Virtual","N","N","Not applicable",1,"Career and Technical School","Currently operational","42-Rural: Distant","Richmond County",-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.944627,-76.747954,NA,-76.747954,37.944627,18.8271823188031,84.5853824928758,136.257844748849,92.518078262826,74.140086963606,NA,139.158576834762,177.493548273992,NA,17.7640642655896,107.847314718276,151.640765064943,117.374895529783,84.9462857378897,NA,156.508430486477,216.408792303438,NA
